Lambda,Overflow (%),Events Generated,Events Processed,Events Offloaded
0.001,0.0,11,11,0
0.05,8.24742268041237,485,445,40
0.1,15.673289183222957,906,764,142
0.15,26.64776754075124,1411,1035,376
0.2,33.893709327548805,1844,1219,625
0.25,39.74763406940063,2219,1337,882
0.3,43.987587276958884,2578,1444,1134
0.35,49.849649181423324,2993,1501,1492
0.4,52.95566502463054,3248,1528,1720
0.45,56.23057360836394,3539,1549,1990
0.5,60.65206570433052,4018,1581,2437
0.55,62.10122331494363,4169,1580,2589
0.6,64.88331131660061,4542,1595,2947
0.65,66.28223946319983,4769,1608,3161
0.7,68.13317479191439,5046,1608,3438
0.75,69.78795271157816,5329,1610,3719
0.8,70.87097940007227,5534,1612,3922
0.85,71.88208616780045,5733,1612,4121
0.9,72.72573554277984,5914,1613,4301
0.95,73.73819602735266,6142,1613,4529
1.0,74.63460631777463,6363,1614,4749
